show_id,director
s1220,Tolga Örnek
s1221,Pablo Agüero
s1222,Mohammad Irfan Ramly
s1223,Kevin McManus
s1224,Ange Basterga
s1225,
s1226,
s1227,
s1228,
s1229,Gitanjali Rao
s1230,
s1231,Halitha Shameem
s1232,
s1233,Carlos Moreno
s1234,Kayode Kasum
s1235,Maribel Sánchez-Maroto
s1236,
s1237,Julien Leclercq
s1238,Fajar Bustomi
s1239,
s1240,Taylor Hackford
s1241,Lasse Hallström
s1242,Amy Poehler
s1243,Jared Hess
s1244,Mike Binder
s1245,Abir Sengupta
s1246,
s1247,Sunny Lau
s1248,Hidenori Inoue
s1249,Emmett Malloy
s1250,Xavier Maingon
s1251,Milton Kremer
s1252,Kevin Costner
s1253,Marco Petry
s1254,Andrew Duncan
s1255,Barry Levinson
s1256,Hidenori Inoue
s1257,Liam Lynch
s1258,
s1259,Jérémie Degruson
s1260,Matt Ross
s1261,Dani de la Orden
s1262,Pablo Larraín
s1263,
s1264,John Erick Dowdle
s1265,Jesse Peretz
s1266,Ribhu Dasgupta
s1267,Pablo Larraín
s1268,Baran bo Odar
s1269,
s1270,Rizki Balki
s1271,
s1272,
s1273,
s1274,Shunsuke Kariyama
s1275,
s1276,
s1277,Jeferson De
s1278,
s1279,Troy Miller
s1280,Barry Avrich
s1281,David Tryhorn
s1282,Tirumala Kishore
s1283,
s1284,James Wan
s1285,James Wan
s1286,
s1287,Huang Hsin-Yao
s1288,
s1289,Chris Weitz
s1290,Saron Sakina
s1291,J Blakeson
s1292,Khalid Rahman
s1293,Luis Ara
s1294,Tharun Bhascker Dhaassyam
s1295,
s1296,Prateek Vats
s1297,
s1298,Alex Merkin
s1299,
s1300,
s1301,
s1302,
s1303,
s1304,Ian Cheney
s1305,Ben Simms
s1306,Vikram Bhatt
s1307,
s1308,Dallas Jenkins
s1309,
s1310,Damián Romay
s1311,
s1312,Hamisha Daryani Ahuja
s1313,Hong Khaou
s1314,
s1315,
s1316,Mario Briongos
s1317,Vinay Bharadwaj
s1318,
s1319,Michael Fimognari
s1320,Eric D. Cabello Díaz
s1321,
s1322,
s1323,Clara Martínez-Lázaro
s1324,Monty Tiwa
s1325,Ava DuVernay
s1326,Alain Darborg
s1327,Filip Zylber
s1328,Ava DuVernay
s1329,Joe Berlinger
s1330,Julien Royal
s1331,Brian Baugh
s1332,
s1333,
s1334,Todd Phillips
s1335,Henri Wong
s1336,
s1337,Maïa Sandoz
s1338,Mostofa Sarwar Farooki
s1339,
s1340,
s1341,Joseph Hsu
s1342,Sam Levinson
s1343,Jo Sung-hee
s1344,Michèle Ohayon
s1345,Rocco Ricciardulli
s1346,Guo Jingming
s1347,Jan Belcl
s1348,Esteban Crespo
s1349,
s1350,
s1351,
s1352,Noé González
s1353,
s1354,Dennis Dugan
s1355,
s1356,
s1357,
s1358,Sarah Gavron
s1359,Martin Scorsese
s1360,Roger Donaldson
s1361,Richard Arellano
s1362,
s1363,
s1364,
s1365,Jon Favreau
s1366,
s1367,Marco Pontecorvo
s1368,Gregory Plotkin
s1369,Lluís Quílez
s1370,Jude Weng
s1371,Simon Stone
s1372,
s1373,Noviandra Santosa
s1374,
s1375,Jeremy Grant
s1376,
s1377,Jeo Baby
s1378,
s1379,Glendyn Ivin
s1380,Okey Oku
s1381,
s1382,Ifeanyi Ikpoenyi
s1383,Chris Eneng Enaji
s1384,
s1385,
s1386,
s1387,Ángeles Reiné
s1388,Paul Haggis
s1389,Ramin Bahrani
s1390,Nicol Paone
s1391,Nick Rowland
s1392,RZA
s1393,
s1394,Cooper Karl
s1395,
s1396,
s1397,Gary Fleder
s1398,J.A. Bayona
s1399,Darren Lynn Bousman
s1400,Lydia Dean Pilcher
s1401,
s1402,
s1403,
s1404,Cris D'Amato
s1405,
s1406,Mikael Håfström
s1407,Eric Darnell
s1408,Byeon Hee-sun
s1409,
s1410,Peter Facinelli
s1411,Renuka Shahane
s1412,Ross Kauffman
s1413,Sung Do-jun
s1414,Hanung Bramantyo
s1415,Charles Gozali
s1416,James Toback
s1417,Tiller Russell
s1418,Francisco D'Eufemia
s1419,Chris Rock
